Analysis	Identifier 2	Identifier 1	d 15N/14N Calculated	N %	d 13C/12C Calculated	C %	d 34S/32S Calculated	S %	Comment 1	Comment 2
12925	Muscle	BH1772	11.92	15.29	-32.35	48.07	3.18	1.91		Measurement repeated (missing NC jump calib)
12926	Muscle	BH1758	15.42	15.09	-17.37	48.31	11.53	1.66		Measurement repeated (missing NC jump calib)
12927	Muscle	BH1758	15.42	15.15	-18.67	48.65	11.51	1.67		Measurement repeated (missing NC jump calib)
12928	Muscle	BH1758	15.39	14.84	-19.7	47.10	11.97	1.67		Measurement repeated (missing NC jump calib)
12929	Muscle	BH1764	14.3	15.32	-18.61	48.13	12.69	1.68		Measurement repeated (missing NC jump calib)
12930	Muscle	BH1764	14.25	15.02	-20.17	48.29	13.35	1.71		Measurement repeated (missing NC jump calib)
12931	Muscle	BH1764	14.29	15.15	-19.54	48.13	12.41	1.69		Measurement repeated (missing NC jump calib)
12935	Muscle	BH1752	15.24	14.70	-18.88	47.07	13.15	1.74		Measurement repeated (missing NC jump calib)
12936	Muscle	BH1752	14.87	14.81	-18.45	47.40	13.57	1.69		Measurement repeated (missing NC jump calib)
12937	Muscle	BH1752	15.17	14.91	-18.98	47.05	13.32	1.68		Measurement repeated (missing NC jump calib)
12938	Muscle	BH1769	11.43	15.31	-30.62	47.74	3.48	1.75		Measurement repeated (missing NC jump calib)
12939	Muscle	BH1769	11.03	15.22	-30.83	47.78	3.69	1.87		Measurement repeated (missing NC jump calib)
12940	Muscle	BH1769	11.1	14.96	-29.1	47.17	3.92	1.83		Measurement repeated (missing NC jump calib)
12941	Muscle	BH1755	15.6	15.06	-18.54	47.98	13.93	1.65		Measurement repeated (missing NC jump calib)
12942	Muscle	BH1755	15.55	14.84	-19.38	47.44	13.81	1.72		Measurement repeated (missing NC jump calib)
12943	Muscle	BH1755	15.61	13.56	-19.98	43.01	13.87	1.60		Measurement repeated (missing NC jump calib)
12944	Muscle	BH1588	16.77	14.89	-18.84	46.26	8.76	1.75		Measurement repeated (missing NC jump calib)
12945	Muscle	BH1588	16.73	15.09	-20.42	47.43	8.95	1.80		Measurement repeated (missing NC jump calib)
12946	Muscle	BH1588	17.15	14.95	-20.89	46.98	7.68	1.72		Measurement repeated (missing NC jump calib)
12950	Muscle	BH1770	10.69	14.98	-29.18	47.04	3.02	1.82		Measurement repeated (missing NC jump calib)
12951	Muscle	BH1770	10.83	14.65	-29.87	45.53	3.12	1.74		Measurement repeated (missing NC jump calib)
12952	Muscle	BH1770	10.84	14.92	-29.91	46.62	4.02	1.74		Measurement repeated (missing NC jump calib)
12953	Muscle	BH1774	12.35	15.10	-27.65	47.75	3.18	1.81		Measurement repeated (missing NC jump calib)
12954	Muscle	BH1774	11.99	15.21	-30.4	48.31	2.09	1.78		Measurement repeated (missing NC jump calib)
12955	Muscle	BH1774	12	15.07	-30.83	47.27	2.84	1.83		Measurement repeated (missing NC jump calib)
12956	Muscle	BH1775	11.92	15.29	-30.86	47.11	2.49	1.78		Measurement repeated (missing NC jump calib)
12957	Muscle	BH1775	11.93	16.65	-31.30	51.18	2.23	1.90		Measurement repeated (missing NC jump calib)
12958	Muscle	BH1775	11.8	14.95	-31.91	46.41	2.71	1.81		Measurement repeated (missing NC jump calib)
12959	Muscle	BH1756	15.62	15.07	-20.39	47.35	15.13	1.65		Measurement repeated (missing NC jump calib)
12960	Muscle	BH1756	15.65	14.85	-21.79	47.49	16.22	1.67		Measurement repeated (missing NC jump calib)
12961	Muscle	BH1756	15.57	14.88	-22.61	47.32	17.22	1.72		Measurement repeated (missing NC jump calib)
12988	Muscle	BH1809	15.44	14.70	-19.23	46.75	8.07	1.68		Measurement repeated (missing NC jump calib)
12989	Muscle	BH1809	15.54	14.78	-19.74	46.81	8.34	1.66		Measurement repeated (missing NC jump calib)
12990	Muscle	BH1809	15.46	14.71	-17.39	47.06	8.4	1.66		Measurement repeated (missing NC jump calib)
12991	Muscle	BH0380	16.47	13.04	-27.76	49.53	5.22	1.48		Measurement repeated (missing NC jump calib)
12992	Muscle	BH0380	16.38	12.96	-25.24	49.64	5.93	1.60		Measurement repeated (missing NC jump calib)
12993	Muscle	BH0380	16.31	13.03	-26.93	49.95	6.46	1.59		Measurement repeated (missing NC jump calib)
12994	Muscle	BH1584	14.96	14.60	-19.32	46.06	11.2	1.59		Measurement repeated (missing NC jump calib)
12995	Muscle	BH1584	15.19	14.64	-17.50	46.71	11.62	1.74		Measurement repeated (missing NC jump calib)
12996	Muscle	BH1584	15.33	14.70	-19.39	47.28	11.03	1.58		Measurement repeated (missing NC jump calib)
12997	Muscle	BH1738	16.91	14.75	-20.50	46.64	12.25	1.74		Measurement repeated (missing NC jump calib)
12998	Muscle	BH1738	17.01	15.11	-23.92	47.58	12.11	1.63		Measurement repeated (missing NC jump calib)
12999	Muscle	BH1738	16.85	14.04	-21.2	44.71	11.88	1.71		Measurement repeated (missing NC jump calib)
13003	Muscle	BH1599	17.09	15.07	-21.05	47.73	9.19	1.59		Measurement repeated (missing NC jump calib)
13004	Muscle	BH1599	16.3	15.06	-21.61	47.18	9.06	1.65		Measurement repeated (missing NC jump calib)
13005	Muscle	BH1599	16.34	14.95	-20.39	47.09	9.58	1.63		Measurement repeated (missing NC jump calib)
13006	Muscle	BH1585	15.45	14.68	-17.95	47.21	10.93	1.70		Measurement repeated (missing NC jump calib)
13007	Muscle	BH1585	15.48	14.75	-20.42	47.85	10.71	1.65		Measurement repeated (missing NC jump calib)
13008	Muscle	BH1585	15.5	14.74	-18.72	47.14	10.31	1.66		Measurement repeated (missing NC jump calib)
13009	Muscle	BH1787	16.66	14.71	-18.15	46.51	9.87	1.75		Measurement repeated (missing NC jump calib)
13010	Muscle	BH1787	17.02	14.86	-18.29	46.94	10.58	1.71		Measurement repeated (missing NC jump calib)
13011	Muscle	BH1787	16.65	14.75	-19.63	47.23	9.78	1.70		Measurement repeated (missing NC jump calib)
13012	Muscle	BH1805	15.92	14.75	-19.25	46.76	9.78	1.72		Measurement repeated (missing NC jump calib)
13013	Muscle	BH1805	15.86	14.70	-17.62	47.20	9.52	1.76		Measurement repeated (missing NC jump calib)
13014	Muscle	BH1805	15.99	14.85	-19.79	47.33	9.48	1.61		Measurement repeated (missing NC jump calib)
13018	Muscle	BH1767	12.99	14.89	-30.14	46.88	3.45	1.70		Measurement repeated (missing NC jump calib)
13019	Muscle	BH1767							Sample did not fall into reactor, measured together with subsequent sample	Measurement repeated (missing NC jump calib)
13020	Muscle	BH1767	13.25	15.30	-33.26	48.23	1.83	1.37		Measurement repeated (missing NC jump calib)
13021	Muscle	BH0829	15.15	14.51	-18.53	46.16	8.86	1.51		Measurement repeated (missing NC jump calib)
13022	Muscle	BH0829	15.08	14.38	-18.76	46.07	8.87	1.51		Measurement repeated (missing NC jump calib)
13023	Muscle	BH0829	15.19	13.32	-20.59	42.56	9.22	1.49		Measurement repeated (missing NC jump calib)
13024	Muscle	BH1776	11.82	15.03	-30.63	46.27	3.03	1.77		Measurement repeated (missing NC jump calib)
13025	Muscle	BH1776	11.7	14.89	-27.82	45.98	2.71	1.83		Measurement repeated (missing NC jump calib)
13026	Muscle	BH1776	12.09	14.84	-28.74	46.08	2.81	1.74		Measurement repeated (missing NC jump calib)
13027	Muscle	BH0376	17.09	14.68	-27.86	46.31	3.97	1.63		Measurement repeated (missing NC jump calib)
13028	Muscle	BH0376	16.86	14.69	-27.48	46.39	3.45	1.60		Measurement repeated (missing NC jump calib)
13029	Muscle	BH0376	16.93	14.63	-27.94	46.56	3.63	1.51		Measurement repeated (missing NC jump calib)
13033	Muscle	BH0687	14.94	14.62	-17.11	46.85	9.62	1.76		Measurement repeated (missing NC jump calib)
13034	Muscle	BH0687	15.03	14.87	-19.13	46.96	9.53	1.64		Measurement repeated (missing NC jump calib)
13035	Muscle	BH0687	15.04	14.67	-17.66	46.69	9.8	1.64		Measurement repeated (missing NC jump calib)
13036	Muscle	BH0686	16.59	14.55	-21.38	46.45	10.27	1.62		Measurement repeated (missing NC jump calib)
13037	Muscle	BH0686	16.54	14.38	-24.13	45.38	10.42	1.56		Measurement repeated (missing NC jump calib)
13038	Muscle	BH0686	17.29	14.64	-21.67	46.74	10.28	1.61		Measurement repeated (missing NC jump calib)
13039	Muscle	BH1827	16.55	14.91	-20.44	46.74	10.31	1.63		Measurement repeated (missing NC jump calib)
13040	Muscle	BH1827	16.61	14.75	-19.96	46.80	9.7	1.56		Measurement repeated (missing NC jump calib)
13041	Muscle	BH1827	17.32	14.31	-20.46	45.92	10.32	1.59		Measurement repeated (missing NC jump calib)
13042	Muscle	BH1806	14.82	14.70	-22.08	47.08	8.68	1.54		Measurement repeated (missing NC jump calib)
13043	Muscle	BH1806	14.75	14.68	-19.7	46.21	8.43	1.61		Measurement repeated (missing NC jump calib)
13044	Muscle	BH1806	15.52	14.60	-19.61	46.14	8.71	1.66		Measurement repeated (missing NC jump calib)
13073	Muscle	BH1825	15.59	15.05	-16.09	48.15	9.93	1.68		Measurement repeated (missing NC jump calib)
13074	Muscle	BH1825	15.91	15.18	-16.29	48.61	9.4	1.50		Measurement repeated (missing NC jump calib)
13075	Muscle	BH1825	15.73	15.16	-16.60	48.72	9.37	1.54		Measurement repeated (missing NC jump calib)
13076	Muscle	BH1812	16.24	15.13	-17.95	47.82	11.7	1.56		Measurement repeated (missing NC jump calib)
13077	Muscle	BH1812	16.27	15.18	-19.28	47.87	11.88	1.55		Measurement repeated (missing NC jump calib)
13078	Muscle	BH1812	16.81	15.08	-19.36	47.70	12.08	1.67		Measurement repeated (missing NC jump calib)
13079	Muscle	BH1818	14.84	18.68	-16.99	60.13	6.67	1.87		Measurement repeated (missing NC jump calib)
13080	Muscle	BH1818	15.5	13.41	-20.17	42.91	6.66	1.41		Measurement repeated (missing NC jump calib)
13081	Muscle	BH1818	15.56	15.97	-22.25	51.54	9.29	1.63		Measurement repeated (missing NC jump calib)
13082	Muscle	BH1789	14.87	12.49	-18.34	39.82	9.26	1.38		Measurement repeated (missing NC jump calib)
13083	Muscle	BH1789	15.01	19.25	-19.4	61.93	9	1.93		Measurement repeated (missing NC jump calib)
13084	Muscle	BH1789	14.85	12.29	-16.57	39.26	6.83	1.36		Measurement repeated (missing NC jump calib)
13088	Muscle	BH1821	14.46	18.58	-19.39	58.57	10	1.88		Measurement repeated (missing NC jump calib)
13089	Muscle	BH1821	14.97	14.91	-16.26	47.25	10.46	1.72		Measurement repeated (missing NC jump calib)
13090	Muscle	BH1821	14.49	14.99	-19.83	47.26	10.47	1.63		Measurement repeated (missing NC jump calib)
13091	Muscle	BH1761	14.26	15.33	-19.16	48.15	10.03	1.67		Measurement repeated (missing NC jump calib)
13092	Muscle	BH1761	14.3	15.10	-19.19	48.12	9.98	1.65		Measurement repeated (missing NC jump calib)
13093	Muscle	BH1761	14.36	15.18	-19.68	48.16	9.95	1.56		Measurement repeated (missing NC jump calib)
13094	Muscle	BH1781	15.88	15.17	-18.81	47.27	8.72	1.63		Measurement repeated (missing NC jump calib)
13095	Muscle	BH1781	16.41	14.85	-18.47	46.71	8.6	1.56		Measurement repeated (missing NC jump calib)
13096	Muscle	BH1781	15.89	15.13	-16.55	47.45	8.68	1.73		Measurement repeated (missing NC jump calib)
13097	Muscle	BH1739	14.86	14.75	-15.39	46.93	9.71	1.61		Measurement repeated (missing NC jump calib)
13098	Muscle	BH1739	15.38	15.09	-15.87	47.82	9.93	1.72		Measurement repeated (missing NC jump calib)
13099	Muscle	BH1739	14.9	15.02	-15.09	47.53	9.78	1.69		Measurement repeated (missing NC jump calib)
13103	Muscle	BH1768	12.41	15.43	-34.95	47.91	2.37	1.70		Measurement repeated (missing NC jump calib)
13104	Muscle	BH1768	12.29	15.07	-32.66	47.10	2.32	1.77		Measurement repeated (missing NC jump calib)
13105	Muscle	BH1768	12.37	15.22	-33.75	47.67	2.02	1.71		Measurement repeated (missing NC jump calib)
13106	Muscle	BH1596	16.68	15.34	-22.63	47.89	9.54	1.67		Measurement repeated (missing NC jump calib)
13107	Muscle	BH1596	16.93	15.27	-22.58	47.93	10	1.61		Measurement repeated (missing NC jump calib)
13108	Muscle	BH1596	16.72	15.17	-19.69	47.69	10.61	1.73		Measurement repeated (missing NC jump calib)
13109	Muscle	BH1701	17.31	15.19	-21.11	47.35	8.64	1.77		Measurement repeated (missing NC jump calib)
13110	Muscle	BH1701	17.32	15.22	-18.74	47.35	8.78	1.73		Measurement repeated (missing NC jump calib)
13111	Muscle	BH1701	17.25	15.30	-23.33	47.34	8.55	1.76		Measurement repeated (missing NC jump calib)
13112	Muscle	BH1597	17.24	15.34	-22.39	48.26	10.25	1.61		Measurement repeated (missing NC jump calib)
13113	Muscle	BH1597	17.2	15.26	-22.47	47.97	10.12	1.67		Measurement repeated (missing NC jump calib)
13114	Muscle	BH1597	17.25	15.54	-22.95	48.34	10.08	1.60		Measurement repeated (missing NC jump calib)
13118	Muscle	BH1595	14.59	14.88	-14.93	47.73	9.95	1.65		Measurement repeated (missing NC jump calib)
13119	Muscle	BH1595	14.7	14.98	-16.14	48.16	10.1	1.63		Measurement repeated (missing NC jump calib)
13120	Muscle	BH1595	14.53	14.99	-20.54	48.35	10.24	1.70		Measurement repeated (missing NC jump calib)
13121	Muscle	BH383	15.84	13.98	-32.66	50.69	2.98	1.42		Measurement repeated (missing NC jump calib)
13122	Muscle	BH383	15.74	13.90	-31.15	50.36	2.72	1.54		Measurement repeated (missing NC jump calib)
13123	Muscle	BH383	15.82	13.85	-32.27	50.27	2.78	1.51		Measurement repeated (missing NC jump calib)
13124	Muscle	BH1594	14.32	15.22	-16.17	48.41	8.79	1.60		Measurement repeated (missing NC jump calib)
13125	Muscle	BH1594	14.32	15.28	-18.08	48.62	9.04	1.55		Measurement repeated (missing NC jump calib)
13126	Muscle	BH1594	14.49	14.50	-15.52	46.17	9.33	1.51		Measurement repeated (missing NC jump calib)
13127	Muscle	BH1717	17.71	15.14	-19.86	47.16	8.56	1.70		Measurement repeated (missing NC jump calib)
13128	Muscle	BH1717	17.72	15.25	-21.38	47.87	8.36	1.61		Measurement repeated (missing NC jump calib)
13129	Muscle	BH1717	17.82	15.33	-21.93	47.63	8.18	1.58		Measurement repeated (missing NC jump calib)
13150	Muscle	BH1771	12.49	15.54	-30.95	49.90	2.19	1.73		Measurement repeated (missing NC jump calib)
13151	Muscle	BH1771	12.46	15.65	-31.08	50.26	2.06	1.82		Measurement repeated (missing NC jump calib)
13152	Muscle	BH1771	12.27	15.83	-34.60	50.77	1.95	1.69		Measurement repeated (missing NC jump calib)
13153	Muscle	BH1746	15.64	15.60	-21.14	50.10	9.37	1.52		Measurement repeated (missing NC jump calib)
13154	Muscle	BH1746	15.57	15.47	-22.59	49.83	10.01	1.58		Measurement repeated (missing NC jump calib)
13155	Muscle	BH1746	15.54	15.32	-19.55	50.08	10.26	1.61		Measurement repeated (missing NC jump calib)
13156	Muscle	BH1734	16.56	15.25	-19.95	49.76	9.78	1.49		Measurement repeated (missing NC jump calib)
13157	Muscle	BH1734	16.29	15.17	-22.35	49.41	9.66	1.51		Measurement repeated (missing NC jump calib)
13158	Muscle	BH1734	16.39	15.11	-22.22	48.71	9.4	1.52		Measurement repeated (missing NC jump calib)
13159	Muscle	BH1813	15.38	14.85	-19.61	49.14	8.26	1.54		Measurement repeated (missing NC jump calib)
13160	Muscle	BH1813	15.33	14.77	-18.27	49.03	8.35	1.50		Measurement repeated (missing NC jump calib)
13161	Muscle	BH1813	15.34	14.53	-19.38	48.29	8.1	1.50		Measurement repeated (missing NC jump calib)
13165	Muscle	BH1797	16.02	15.29	-16.82	50.02	8.69	1.58		Measurement repeated (missing NC jump calib)
13166	Muscle	BH1797	16.09	15.26	-20.27	50.16	8.62	1.55		Measurement repeated (missing NC jump calib)
13167	Muscle	BH1797	16.21	14.88	-18.84	48.01	8.77	1.55		Measurement repeated (missing NC jump calib)
13168	Muscle	BH1592	13.93	15.41	-18.43	51.27	9.11	1.62		Measurement repeated (missing NC jump calib)
13169	Muscle	BH1592	13.91	15.36	-19.3	50.87	9.15	1.54		Measurement repeated (missing NC jump calib)
13170	Muscle	BH1592	13.89	15.10	-18.39	50.41	9.22	1.67		Measurement repeated (missing NC jump calib)
13171	Muscle	BH1803	15.78	14.97	-17.55	48.72	8.38	1.53		Measurement repeated (missing NC jump calib)
13172	Muscle	BH1803	15.81	14.95	-17.22	48.71	8.44	1.52		Measurement repeated (missing NC jump calib)
13173	Muscle	BH1803	15.76	14.85	-20.41	48.54	8.52	1.55		Measurement repeated (missing NC jump calib)
13174	Muscle	BH1811	15.56	15.50	-16.4	49.66	9.14	1.61		Measurement repeated (missing NC jump calib)
13175	Muscle	BH1811	15.6	15.16	-16.63	49.57	9.03	1.63		Measurement repeated (missing NC jump calib)
13176	Muscle	BH1811	15.63	15.25	-17.37	50.21	8.95	1.60		Measurement repeated (missing NC jump calib)
13180	Muscle	BH1766	11.38	15.40	-33.41	48.97	1.84	1.78		Measurement repeated (missing NC jump calib)
13181	Muscle	BH1766	11.37	15.32	-32.46	49.32	1.98	1.85		Measurement repeated (missing NC jump calib)
13182	Muscle	BH1766	11.44	15.56	-34.22	49.25	1.84	1.69		Measurement repeated (missing NC jump calib)
13183	Muscle	BH1777	15.39	15.51	-20.16	50.14	9.14	1.61		Measurement repeated (missing NC jump calib)
13184	Muscle	BH1777	15.49	15.67	-20.42	50.76	9.14	1.54		Measurement repeated (missing NC jump calib)
13185	Muscle	BH1777	15.46	15.43	-20.68	50.08	8.98	1.51		Measurement repeated (missing NC jump calib)
13186	Muscle	BH1731	16.2	15.47	-20.77	49.76	10.72	1.63		Measurement repeated (missing NC jump calib)
13187	Muscle	BH1731	15.98	15.24	-17.73	49.04	11	1.77		Measurement repeated (missing NC jump calib)
13188	Muscle	BH1731	16.04	15.13	-18.35	48.88	10.98	1.67		Measurement repeated (missing NC jump calib)
13189	Muscle	BH1802	15.65	15.30	-20.31	49.75	9.59	1.62		Measurement repeated (missing NC jump calib)
13190	Muscle	BH1802	15.69	15.30	-16	48.65	9.94	1.70		Measurement repeated (missing NC jump calib)
13191	Muscle	BH1802	16.19	15.41	-18.6	49.78	9.77	1.55		Measurement repeated (missing NC jump calib)
13195	Muscle	BH1583	16.5	15.59	-22.14	49.80	8.1	1.60		Measurement repeated (missing NC jump calib)
13196	Muscle	BH1583	16.49	15.47	-22.69	49.36	8.34	1.67		Measurement repeated (missing NC jump calib)
13197	Muscle	BH1583	16.53	15.61	-22.55	49.65	8.19	1.62		Measurement repeated (missing NC jump calib)
13198	Muscle	BH379	16.76	13.94	-29.03	52.28	3.62	1.37		Measurement repeated (missing NC jump calib)
13199	Muscle	BH379	16.62	13.86	-27.06	52.26	3.38	1.37		Measurement repeated (missing NC jump calib)
13200	Muscle	BH379	16.71	13.95	-27.51	52.64	3.68	1.49		Measurement repeated (missing NC jump calib)
13201	Muscle	BH1810	15.46	25.60	-22.41	85.43	8.56	2.21		Measurement repeated (missing NC jump calib)
13202	Muscle	BH1810	15.35	15.05	-18.79	49.94	9.08	1.70		Measurement repeated (missing NC jump calib)
13203	Muscle	BH1810	15.4	15.08	-21.19	50.00	9.1	1.54		Measurement repeated (missing NC jump calib)
13204	Muscle	BH1804	15.13	11.35	-18.45	36.60	9.98	1.41		Measurement repeated (missing NC jump calib)
13205	Muscle	BH1804	15.72	15.07	-19.64	49.08	9.79	1.52		Measurement repeated (missing NC jump calib)
13206	Muscle	BH1804	15.06	14.89	-16.92	48.56	9.86	1.69		Measurement repeated (missing NC jump calib)
15393	Muscle	BF220	14.76	14.48	-20.67	49.07	6.64	1.99		
15394	Muscle	BF220	14.9	14.39	-20.74	49.15	6.84	1.83		
15395	Muscle	BF220	14.8	14.45	-20.75	49.78	6.94	1.86		
15396	Muscle	BF168	12.84	14.54	-16.55	50.88	6.89	1.80		
15397	Muscle	BF168	12.86	14.43	-16.44	49.76	6.88	1.84		
15398	Muscle	BF168	12.75	14.47	-16.56	50.02	6.75	1.87		
15399	Muscle	BF185	11.02	14.04	-14.99	49.89	3.78	1.82		
15400	Muscle	BF185	11	14.09	-15.16	49.88	3.57	1.95		
15401	Muscle	BF185	11.04	14.22	-14.94	50.76	3.51	1.84		
15402	Muscle	BF171	12.14	14.08	-17.16	47.94	5.9	1.74		
15403	Muscle	BF171	12.17	13.97	-17.05	47.38	5.95	1.78		
15404	Muscle	BF171	12.11	13.98	-17.24	47.89	6.1	1.72		
15408	Muscle	BF180	13.56	13.85	-17.46	49.34	8.08	1.93		
15409	Muscle	BF180	13.68	14.00	-17.36	50.26	8.19	1.81		
15410	Muscle	BF180	13.61	13.98	-17.36	49.76	7.79	1.78		
15411	Muscle	BF216	15.33	14.11	-29.85	50.36	1.98	1.58		
15412	Muscle	BF216	15.38	14.07	-29.86	50.69	2.11	1.61		
15413	Muscle	BF216	15.25	13.99	-29.83	49.46	2.16	1.74		
15414	Muscle	BF188	13.96	13.70	-19.55	49.36	7.7	1.88		
15415	Muscle	BF188	13.94	13.90	-19.62	49.42	7.56	1.88		
15416	Muscle	BF188	14.03	13.88	-19.54	49.89	7.91	1.80		
15417	Muscle	BF184	14.21	14.34	-19.15	49.74	8.27	1.90		
15418	Muscle	BF184	14.22	14.13	-19.07	49.52	8.17	1.79		
15419	Muscle	BF184	14.31	13.91	-19.15	49.34	8.5	1.75		
15423	Muscle	BF201	14.54	14.87	-21.67	49.75	7.18	1.85		
15424	Muscle	BF201	14.47	14.96	-21.72	50.43	7.32	1.86		
15425	Muscle	BF201	14.46	14.81	-21.79	49.92	7.44	1.90		
15426	Muscle	BF178	12.6	14.96	-16.37	51.97	7.65	1.78		
15427	Muscle	BF178	12.62	14.82	-16.45	51.02	7.45	1.75		
15428	Muscle	BF178	12.58	14.67	-16.48	50.87	7.55	1.79		
15429	Muscle	BF190	10.04	8.43	-23.81	51.69	13.99	1.48		
15430	Muscle	BF190	10.17	8.43	-23.49	51.55	14.78	1.27		
15431	Muscle	BF190	10.17	8.69	-23.64	52.08	14.85	1.38		
15432	Muscle	BF193	9.79	7.75	-23.71	46.04	14.8	1.25		
15433	Muscle	BF193	9.72	7.92	-23.86	46.89	15.01	1.30		
15434	Muscle	BF193	9.72	8.05	-23.77	47.77	14.99	1.16		
15438	Muscle	BF191	10.29	9.20	-23.53	48.89	15.07	1.34		
15439	Muscle	BF191	10.21	8.95	-23.6	47.53	15.65	1.42		
15440	Muscle	BF191	10.19	8.91	-23.57	48.23	15.61	1.27		
15441	Muscle	BF177	12.49	14.94	-22.59	51.00	9.17	1.79		
15442	Muscle	BF177	12.82	14.93	-22.72	51.42	9.21	1.87		
15443	Muscle	BF177	12.6	14.26	-22.64	49.52	8.73	1.75		
15444	Muscle	BF197	10.73	9.88	-22.09	45.02	14.79	1.42		
15445	Muscle	BF197	10.69	9.91	-22.03	45.00	15.07	1.37		
15446	Muscle	BF197	10.96	9.94	-22.1	44.99	15.34	1.50		
15447	Muscle	BF195	10.87	10.67	-22.31	48.11	15.47	1.47		
15448	Muscle	BF195	10.46	10.68	-22.32	47.76	15.67	1.43		
15449	Muscle	BF195	10.88	10.78	-22.25	47.74	15.73	1.51		
15485	Muscle	BF189	10.89	9.22	-22.84	48.44	14.74	1.19		
15486	Muscle	BF189	10.63	9.10	-22.74	46.12	14.86	1.22		
15487	Muscle	BF189	10.73	8.71	-23.17	48.97	15.28	1.09		
15488	Muscle	BF198	11.19	11.16	-21.78	47.66	15.2	1.19		
15489	Muscle	BF198	11.4	10.82	-21.82	46.88	14.97	1.19		
15490	Muscle	BF198	11.18	11.00	-21.85	46.76	15.06	1.19		
15491	Muscle	BF192	10.81	9.45	-23.26	47.48	15.16	1.04		
15492	Muscle	BF192	10.82	9.23	-23.22	46.52	15.06	1.10		
15493	Muscle	BF192	10.76	9.42	-23.24	47.78	15.14	1.09		
15494	Muscle	BF146	14.78	15.72	-17.19	50.60	10.1	1.70		
15495	Muscle	BF146	14.68	15.96	-17.2	50.03	10.11	1.70		
15496	Muscle	BF146	14.7	16.17	-17.12	50.72	9.95	1.61		
15500	Muscle	BF176	12.62	15.79	-16.57	50.32	4.66	1.58		
15501	Muscle	BF176	12.61	15.80	-16.61	50.70	4.83	1.57		
15502	Muscle	BF176	12.53	15.72	-16.64	50.37	4.95	1.66		
15503	Muscle	BF164	15.27	15.80	-20.36	50.28	12.19	1.62		
15504	Muscle	BF164	15.26	16.21	-20.34	50.58	12.45	1.63		
15505	Muscle	BF164	15.06	16.06	-20.32	50.51	12.59	1.70		
15506	Muscle	BF169	12.31	15.63	-17.88	49.57	8.91	1.61		
15507	Muscle	BF169	12.42	15.67	-17.79	49.52	9.04	1.61		
15508	Muscle	BF169	12.38	15.69	-17.8	49.68	8.93	1.55		
15509	Muscle	BF155	12.96	15.86	-17.91	49.78	7.34	1.75		
15510	Muscle	BF155	13.14	15.83	-17.95	49.87	7.52	1.70		
15511	Muscle	BF155	13.06	15.91	-17.88	50.69	7.44	1.65		
15515	Muscle	BF200	12.45	14.55	-17.77	52.53	7.45	1.60		
15516	Muscle	BF200	12.57	14.53	-17.69	52.45	7.39	1.49		
15517	Muscle	BF200	12.36	14.82	-17.71	52.13	7.33	1.51		
15518	Muscle	BF229	14.48	15.47	-22.86	48.62	7.77	1.65		
15519	Muscle	BF229	14.62	15.15	-22.95	48.28	8.11	1.68		
15520	Muscle	BF229	14.63	15.31	-22.9	49.10	7.9	1.64		
15521	Muscle	BF228	14.09	15.57	-21.71	49.75	7.86	1.66		
15522	Muscle	BF228	14.16	15.50	-21.65	49.31	7.78	1.63		
15523	Muscle	BF228	14.36	14.86	-21.72	48.55	7.59	1.61		
15524	Muscle	BF211	13.61	15.38	-20.12	49.83	4.75	1.66		
15525	Muscle	BF211	13.59	15.28	-20.18	49.71	4.84	1.62		
15526	Muscle	BF211	13.65	15.16	-20.22	49.52	4.83	1.68		
15530	Muscle	BF194	11.33	9.97	-22.71	47.76	15.08	1.11		
15531	Muscle	BF194	11.36	10.09	-22.76	48.56	15.51	1.15		
15532	Muscle	BF194	11.46	10.00	-22.75	48.50	15.64	1.13		
15533	Muscle	BF157	12.94	15.57	-15.58	49.27	4.06	1.65		
15534	Muscle	BF157	12.89	15.72	-15.56	49.20	3.89	1.65		
15535	Muscle	BF157	12.91	15.80	-15.59	49.03	3.83	1.75		
15536	Muscle	BF156 brown	11.23	9.05	-23.2	51.00	14.98	1.09		
15537	Muscle	BF156 brown	11.41	8.90	-23.19	51.06	15.53	1.10		
15538	Muscle	BF156 brown	11.36	8.93	-23.2	50.19	15.92	1.10		
15539	Muscle	BF156 white	13.22	15.83	-20.89	50.06	9.09	1.73		
15540	Muscle	BF156 white	13.2	15.83	-20.84	49.44	8.78	1.67		
15541	Muscle	BF156 white	13.21	15.85	-20.91	49.74	9	1.62		
15576	Muscle	BH1756	15.55	15.92	-18.37	50.52	10.54	1.55		
15577	Muscle	BH1756	15.56	15.79	-18.42	50.26	10.56	1.59		
15578	Muscle	BH1756	15.54	15.92	-18.37	50.47	10.79	1.53		
15579	Muscle	BH1772	11.96	15.86	-27.07	49.66	2.12	1.76		
15580	Muscle	BH1772	11.86	15.91	-27.05	49.63	1.65	1.78		
15581	Muscle	BH1772	11.9	15.89	-27.03	49.43	1.81	1.82		
15582	Muscle	BH1588	17.01	15.62	-17.9	49.26	5.13	1.59		
15583	Muscle	BH1588	16.72	15.85	-17.89	50.18	5.31	1.59		
15584	Muscle	BH1588	16.65	15.79	-17.9	49.22	5.44	1.65		
15585	Muscle	BH1753	15.62	15.72	-16.79	50.73	8.06	1.62		
15586	Muscle	BH1753	15.57	15.72	-16.62	50.77	8.15	1.53		
15587	Muscle	BH1753	15.59	15.52	-16.8	50.27	8.21	1.63		
